##ANIMATION##;;;;;;;;;;
x;x_type;y;y_type;width;width_type;height;height_type;rotation;alpha;image
0;"px";0;"px";18.3333333333;"%";18.3333333333;"%";0;0;""
0;"px";0;"px";17.9166666667;"%";17.9166666667;"%";0;0;""
0;"px";0;"px";17.5;"%";17.5;"%";0;0;""
0;"px";0;"px";17.0833333333;"%";17.0833333333;"%";0;0;""
0;"px";0;"px";16.6666666667;"%";16.6666666667;"%";0;0;""
0;"px";0;"px";16.25;"%";16.25;"%";0;0;""
0;"px";0;"px";15.8333333333;"%";15.8333333333;"%";0;0;""
0;"px";0;"px";15.4166666667;"%";15.4166666667;"%";0;0;""
0;"px";0;"px";15;"%";15;"%";0;0;""
0;"px";0;"px";14.5833333333;"%";14.5833333333;"%";0;0;""
0;"px";0;"px";14.1666666667;"%";14.1666666667;"%";0;0;""
0;"px";0;"px";13.75;"%";13.75;"%";0;0;""
0;"px";0;"px";13.3333333333;"%";13.3333333333;"%";0;0;""
0;"px";0;"px";12.9166666667;"%";12.9166666667;"%";0;0;""
0;"px";0;"px";12.5;"%";12.5;"%";0;0;""
0;"px";0;"px";12.0833333333;"%";12.0833333333;"%";0;0;""
0;"px";0;"px";11.6666666667;"%";11.6666666667;"%";0;0;""
0;"px";0;"px";11.25;"%";11.25;"%";0;0;""
0;"px";0;"px";10.8333333333;"%";10.8333333333;"%";0;0;""
0;"px";0;"px";10.4166666667;"%";10.4166666667;"%";0;0;""
0;"px";0;"px";10;"%";10;"%";0;0;""
0;"px";0;"px";9.5833333333;"%";9.5833333333;"%";0;0;""
0;"px";0;"px";9.1666666667;"%";9.1666666667;"%";0;0;""
0;"px";0;"px";8.75;"%";8.75;"%";0;0;""
0;"px";0;"px";8.3333333333;"%";8.3333333333;"%";0;0;""
0;"px";0;"px";7.9166666667;"%";7.9166666667;"%";0;0;""
0;"px";0;"px";7.5;"%";7.5;"%";0;0;""
0;"px";0;"px";7.0833333333;"%";7.0833333333;"%";0;0;""
0;"px";0;"px";6.6666666667;"%";6.6666666667;"%";0;0;""
0;"px";0;"px";6.25;"%";6.25;"%";0;0;""
0;"px";0;"px";5.8333333333;"%";5.8333333333;"%";0;0;""
0;"px";0;"px";5.4166666667;"%";5.4166666667;"%";0;0;""
0;"px";0;"px";5;"%";5;"%";0;0;""
0;"px";0;"px";4.5833333333;"%";4.5833333333;"%";0;0;""
0;"px";0;"px";4.1666666667;"%";4.1666666667;"%";0;0;""
0;"px";0;"px";3.75;"%";3.75;"%";0;0;""
0;"px";0;"px";3.3333333333;"%";3.3333333333;"%";0;0;""
0;"px";0;"px";2.9166666667;"%";2.9166666667;"%";0;0;""
0;"px";0;"px";2.5;"%";2.5;"%";0;0;""
0;"px";0;"px";2.0833333333;"%";2.0833333333;"%";0;0;""
0;"px";0;"px";1.6666666667;"%";1.6666666667;"%";0;0;""
0;"px";0;"px";1.25;"%";1.25;"%";0;0;""
0;"px";0;"px";0.8333333333;"%";0.8333333333;"%";0;0;""
0;"px";0;"px";0.4166666667;"%";0.4166666667;"%";0;0;""
0;"px";0;"px";0;"%";0;"%";0;0;""
0;"px";0;"px";0;"%";0;"%";0.0262322987;0;""
0;"px";0;"px";0;"%";0;"%";0.0524645973;0;""
0;"px";0;"px";0;"%";0;"%";0.078696896;0;""
0;"px";0;"px";0;"%";0;"%";0.1049291946;0;""
0;"px";0;"px";0;"%";0;"%";0.1311614933;0;""
0;"px";0;"px";0;"%";0;"%";0.1573937919;0;""
0;"px";0;"px";0;"%";0;"%";0.1836260906;0;""
0;"px";0;"px";0;"%";0;"%";0.2098583893;0;""
0;"px";0;"px";0;"%";0;"%";0.2360906879;0;""
0;"px";0;"px";0;"%";0;"%";0.2623229866;0;""
0;"px";0;"px";0;"%";0;"%";0.2885552852;0;""
0;"px";0;"px";0;"%";0;"%";0.3147875839;0;""
0;"px";0;"px";0;"%";0;"%";0.3410198825;0;""
0;"px";0;"px";0;"%";0;"%";0.3672521812;0;""
0;"px";0;"px";0;"%";0;"%";0.3934844799;0;""
0;"px";0;"px";0;"%";0;"%";0.4197167785;0;""
0;"px";0;"px";0;"%";0;"%";0.4459490772;0;""
0;"px";0;"px";0;"%";0;"%";0.4721813758;0;""
0;"px";0;"px";0;"%";0;"%";0.4984136745;0;""
0;"px";0;"px";0;"%";0;"%";0.5246459731;0;""
0;"px";0;"px";0;"%";0;"%";0.5508782718;0;""
0;"px";0;"px";0;"%";0;"%";0.5771105705;0;""
0;"px";0;"px";0;"%";0;"%";0.6033428691;0;""
